id,department,category,brand,name,model,condition,priceGHS,priceSource,priceCheckedAt,releaseStatus,releaseDate,sourceUrl,imageSource,galleryImageCount,galleryImages,galleryCheckedAt
"gh-apple-iphone-17-256gb-black-1sim","phones","Unlocked Smartphones","Apple","Apple iPhone 17 256GB Black — 1 SIM + eSIM","I PH 17(1SIM)256BLACK","New","12390","Telefonika Ghana","2026-09-24","","","https://telefonika.com/products/apple-iphone-17?variant=51572241301780","https://cdn.shopify.com/s/files/1/0952/4147/0228/files/iPhone17Black.jpg?v=1769523308","3","https://cdn.shopify.com/s/files/1/0952/4147/0228/files/iPhone17Black.jpg?v=1769523308 | https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-17-finish-select-black-202509_AV2?wid=724&hei=540&fmt=jpeg&qlt=90&.v=WGdCRlQ0YVlqbTdXTEkxRnVQb0oxb2VRRjNicDE2eUYxNWtxdDZEUE9tUjZxZmJIdzBBQWpZVTVJdFRoUUcxVloyU1hvUEtRbDVNbTllSjBLTk1lc0Q2K3c3eDN1QlVKV09nQzhyNmV5TTFHQlJWZzByU21DbUFERkJnRlpYeEw | https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-17-finish-select-black-202509_AV3?wid=1246&hei=518&fmt=jpeg&qlt=90&.v=WGdCRlQ0YVlqbTdXTEkxRnVQb0oxb2VRRjNicDE2eUYxNWtxdDZEUE9tU2pVSXdvdFJEUlVrZHBvTWNyMzhCZlh1VkNuWDZPeGZ3UHJPcStEYUdBWkVRclJCeklRbTBpbnovOUlrTlc5UU9WQWVjeW9Hb01WaktFTmVTRzNtV20","2026-09-24"
"gh-apple-iphone-17-pro-256gb-deep-blue-1sim","phones","Unlocked Smartphones","Apple","Apple iPhone 17 Pro 256GB Deep Blue — 1 SIM + eSIM","I PH 17PRO(1SIM)256BU","New","18390","Telefonika Ghana","2026-09-24","","","https://telefonika.com/products/apple-iphone-17-pro-1sim?variant=51420813033748","https://cdn.shopify.com/s/files/1/0952/4147/0228/files/iPhone_17_Pro_Max_Deep_Blue.jpg?v=1772210609","0","","2026-09-24"
"gh-apple-iphone-17-pro-max-256gb-deep-blue-1sim","phones","Unlocked Smartphones","Apple","Apple iPhone 17 Pro Max 256GB Deep Blue — 1 SIM + eSIM","I PH 17PMX(1SIM)256BU","New","20990","Telefonika Ghana","2026-09-24","","","https://telefonika.com/products/apple-iphone-17-pro-max-1sim?variant=51301360697620","https://cdn.shopify.com/s/files/1/0952/4147/0228/files/iPhone_17_Pro_Max_Deep_Blue.jpg?v=1772210609","0","","2026-09-24"
"gh-samsung-galaxy-s26-ultra-12gb-256gb-light-violet","phones","Unlocked Smartphones","Samsung","Samsung Galaxy S26 Ultra 12GB/256GB — Light Violet","S948 S26U(12+256GB)VI","New","14899","Telefonika Ghana","2026-09-24","","","https://telefonika.com/products/samsung-galaxy-s26-ultra?variant=52002212413716","https://images.samsung.com/is/image/samsung/p6pim/us/s2602/gallery/us-galaxy-s26-ultra-s948-sm-s948uzvaxaa-550993899?$product-details-jpg$","5","https://cdn.shopify.com/s/files/1/0952/4147/0228/files/S26Ultraviolet.jpg?v=1778619306 | https://images.samsung.com/is/image/samsung/p6pim/us/s2602/gallery/us-galaxy-s26-ultra-s948-sm-s948uzvaxaa-550993899?$product-details-jpg$ | https://images.samsung.com/is/image/samsung/p6pim/us/s2602/gallery/us-galaxy-s26-ultra-s948-sm-s948uzvaxaa-550993900?$product-details-jpg$ | https://images.samsung.com/is/image/samsung/p6pim/us/s2602/gallery/us-galaxy-s26-ultra-s948-sm-s948uzvaxaa-550993911?$product-details-jpg$ | https://images.samsung.com/is/image/samsung/p6pim/us/s2602/gallery/us-galaxy-s26-ultra-s948-sm-s948uzvaxaa-550993915?$product-details-jpg$","2026-09-24"
"gh-samsung-galaxy-s26-12gb-256gb-blue","phones","Unlocked Smartphones","Samsung","Samsung Galaxy S26 12GB/256GB — Blue","S942 S26(12+256GB)BLU","New","10599","Telefonika Ghana","2026-09-24","","","https://telefonika.com/products/samsung-galaxy-s26?variant=52001777156372","https://images.samsung.com/is/image/samsung/p6pim/us/s2602/gallery/us-galaxy-s26-s942-sm-s942ulbexaa-550995216?$product-details-jpg$","5","https://cdn.shopify.com/s/files/1/0952/4147/0228/files/S26blue.jpg?v=1778619305 | https://images.samsung.com/is/image/samsung/p6pim/us/s2602/gallery/us-galaxy-s26-s942-sm-s942ulbexaa-550995216?$product-details-jpg$ | https://images.samsung.com/is/image/samsung/p6pim/us/s2602/gallery/us-galaxy-s26-s942-sm-s942ulbexaa-550995217?$product-details-jpg$ | https://images.samsung.com/is/image/samsung/p6pim/us/s2602/gallery/us-galaxy-s26-s942-sm-s942ulbexaa-550995221?$product-details-jpg$ | https://images.samsung.com/is/image/samsung/p6pim/us/s2602/gallery/us-galaxy-s26-s942-sm-s942ulbexaa-550995222?$product-details-jpg$","2026-09-24"
"gh-apple-macbook-pro-m5-14-16gb-1tb-black","computers-tablets","Laptops","Apple","Apple MacBook Pro 14-inch M5 16GB/1TB Space Black — MDE14LL/A","MDE14LL/A","New","27000","Telefonika Ghana","2026-09-24","","","https://telefonika.com/products/apple-macbook-pro-14-inch-m5-16gb-1tb-black-supercharged-by-m5-chip?variant=51300198318356","https://cdn.shopify.com/s/files/1/0952/4147/0228/files/MDE14LLA.jpg?v=1788343838","2","https://cdn.shopify.com/s/files/1/0952/4147/0228/files/MDE14LLA.jpg?v=1788343838 | https://lantre.pl/media/catalog/product/cache/0f7431f5367b37c067ffd8dcd36cc722/a/p/apple-macbook-pro-14-m5-10-core-cpu-10-core-gpu-16gb-ram-1tb-ssd-klawiatura-us-gwiezdna-czern-space-black-mde14-us_2.jpg","2026-09-24"
"gh-apple-macbook-air-m5-15-16gb-512gb-midnight","computers-tablets","Laptops","Apple","Apple MacBook Air 15-inch M5 16GB/512GB Midnight — MDVH4","MDVH4","New","21900","Telefonika Ghana","2026-09-24","","","https://telefonika.com/products/apple-macbook-air-m5-15-inch-16gb-512gb-midnight-super-thin-super-powerful?variant=51300205560084","https://cdn.shopify.com/s/files/1/0952/4147/0228/files/AppleMacbookAirMidnight.jpg?v=1788385516","6","https://cdn.shopify.com/s/files/1/0952/4147/0228/files/AppleMacbookAirMidnight.jpg?v=1788385516 | https://gorilla.md/wp-content/uploads/2026/03/i-4-4.webp | https://gorilla.md/wp-content/uploads/2026/03/i-1-5.webp | https://gorilla.md/wp-content/uploads/2026/03/i-51.webp | https://gorilla.md/wp-content/uploads/2026/03/i-8-4.webp | https://gorilla.md/wp-content/uploads/2026/03/i-2-4.webp","2026-09-24"
"gh-hp-250r-g10-core3-100u-8gb-512gb","computers-tablets","Laptops","HP","HP 250R G10 Core 3 100U 8GB/512GB 15.6-inch — Bag, Mouse & Headset Bundle","C5MF2ET","Retailer listing; confirm condition","7299","CompuGhana","2026-09-24","","","https://compughana.com/products/hp-250r-g10-core3-100u-8gb-512gb-15-6-inch-laptop?variant=47330970075371","https://cdn.shopify.com/s/files/1/0787/6768/5867/files/printer505.png?v=1772535850","4","https://cdn.shopify.com/s/files/1/0787/6768/5867/files/printer505.png?v=1772535850 | https://cdn.shopify.com/s/files/1/0787/6768/5867/files/printer506.png?v=1772535850 | https://cdn.shopify.com/s/files/1/0787/6768/5867/files/printer507.png?v=1772535850 | https://cdn.shopify.com/s/files/1/0787/6768/5867/files/printer508.png?v=1772535850","2026-09-24"
"gh-dell-pro-15-essential-pv15250","computers-tablets","Laptops","Dell","Dell Pro 15 Essential PV15250 Core 3 100U 8GB/512GB 15.6-inch — Bag, Mouse & Headset Bundle","Dell Pro 15 Essential PV15250","Retailer listing; confirm condition","6999","CompuGhana","2026-09-24","","","https://compughana.com/products/dell-pro-15-essential-pv15250-c3-100u-8gb-512gb-ssd-15-6-inch-laptop?variant=47437908312299","https://cdn.shopify.com/s/files/1/0787/6768/5867/files/lenovo_260.avif?v=1770116818","4","https://cdn.shopify.com/s/files/1/0787/6768/5867/files/lenovo_260.avif?v=1770116818 | https://cdn.shopify.com/s/files/1/0787/6768/5867/files/lenovo259.avif?v=1770116792 | https://cdn.shopify.com/s/files/1/0787/6768/5867/files/lenovo_261.avif?v=1770116842 | https://cdn.shopify.com/s/files/1/0787/6768/5867/files/lenovo_258.avif?v=1771585327","2026-09-24"
"gh-lg-50ua85006la","tv-home-theatre","Televisions","LG","LG 50UA85006LA 50-inch UHD 4K AI ThinQ TV","LG LED 50UA85006LA","Retailer listing; confirm condition","5599","CompuGhana","2026-09-24","","","https://compughana.com/products/lg-led-50ua85006la-uhd-smart-satellite-4k-ai-thinq-television?variant=47143218905323","https://cdn.shopify.com/s/files/1/0787/6768/5867/files/sam_1022.jpg?v=1772536578","3","https://cdn.shopify.com/s/files/1/0787/6768/5867/files/sam_1022.jpg?v=1772536578 | https://cdn.shopify.com/s/files/1/0787/6768/5867/files/sam_1023.jpg?v=1764676373 | https://cdn.shopify.com/s/files/1/0787/6768/5867/files/sam_1024.jpg?v=1772536578","2026-09-24"
